Date,FBCVX
2022-01-31,-0.003814973772055197
2022-02-28,0.003350885591191899
2022-03-31,0.0147900763358777
2022-04-30,-0.042313117066290484
2022-05-31,0.031909671084928704
2022-06-30,-0.07231208372978115
2022-07-31,0.04923076923076919
2022-08-31,-0.01319648093841641
2022-09-30,-0.0742942050520059
2022-10-31,0.11128945960406633
2022-11-30,0.05199807414540203
2022-12-31,-0.02517162471395884
2023-01-31,0.024882629107981113
2023-02-28,-0.04947320201557481
2023-03-31,-0.010120481927710867
2023-04-30,0.02969814995131448
2023-05-31,-0.037352245862884104
2023-06-30,0.04223968565815328
2023-07-31,0.047125353440150786
2023-08-31,-0.03420342034203416
2023-09-30,-0.008387698042870428
2023-10-31,-0.023026315789473784
2023-11-30,0.05242905242905249
2023-12-31,0.042047531992687404
2024-01-31,-0.0035087719298246833
2024-02-29,0.026408450704225483
2024-03-31,0.04845626072041154
2024-04-30,-0.03394683026584855
2024-05-31,0.0215918712955121
2024-06-30,-0.01864898466639031
2024-07-31,0.04434121621621623
2024-08-31,0.023048928427011672
2024-09-30,-0.007509881422924969
2024-10-31,-0.016726403823177916
2024-11-30,0.0558930741190764
