Date,FCPVX
2022-01-31,-0.03520352035203522
2022-02-28,0.023375142531356863
2022-03-31,-0.004456824512534707
2022-04-30,-0.07386681589255739
2022-05-31,0.02477341389728105
2022-06-30,-0.10731132075471694
2022-07-31,0.09313077939233816
2022-08-31,-0.04712990936555894
2022-09-30,-0.09511731135066581
2022-10-31,0.10371408549404348
2022-11-30,0.053968253968254
2022-12-31,-0.048192771084337394
2023-01-31,0.10126582278481
2023-02-28,-0.016091954022988353
2023-03-31,-0.05957943925233644
2023-04-30,-0.014285714285714457
2023-05-31,-0.026465028355387554
2023-06-30,0.07896440129449855
2023-07-31,0.06778644271145762
2023-08-31,-0.03539325842696628
2023-09-30,-0.05125218404193377
2023-10-31,-0.05279312461632901
2023-11-30,0.08230719377835394
2023-12-31,0.11437125748502996
2024-01-31,-0.02740462117141307
2024-02-29,0.04033149171270711
2024-03-31,0.050982474774296405
2024-04-30,-0.07023749368367871
2024-05-31,0.03152173913043499
2024-06-30,-0.02476290832455208
2024-07-31,0.11939492166396537
2024-08-31,-0.004826254826254761
2024-09-30,-0.005819592628516057
2024-10-31,-0.02195121951219514
2024-11-30,0.0937655860349127
