Date,FEDDX
2022-01-31,-0.022207267833109
2022-02-28,-0.018582243633860962
2022-03-31,-0.005610098176718092
2022-04-30,-0.05430183356840612
2022-05-31,0.018642803877703118
2022-06-30,-0.08565153733528552
2022-07-31,0.028022417934347343
2022-08-31,0.007788161993769416
2022-09-30,-0.09350850077279749
2022-10-31,0.025575447570332477
2022-11-30,0.10640066500415646
2022-12-31,-0.01577761081893314
2023-01-31,0.07709923664122131
2023-02-28,-0.033309709425938916
2023-03-31,0.01026392961876832
2023-04-30,0.02394775036284469
2023-05-31,-0.016300496102055195
2023-06-30,0.06484149855907773
2023-07-31,0.04397834912043308
2023-08-31,-0.055735580038885235
2023-09-30,-0.00823610157858623
2023-10-31,-0.03460207612456745
2023-11-30,0.0781362007168458
2023-12-31,0.051861702127659726
2024-01-31,-0.061314791403286995
2024-02-29,0.045791245791245716
2024-03-31,0.019317450096587363
2024-04-30,-0.0025268477574226234
2024-05-31,0.0
2024-06-30,0.019632678910703083
2024-07-31,0.0031055900621115295
2024-08-31,0.00681114551083617
2024-09-30,0.04428044280442789
2024-10-31,-0.060070671378091856
2024-11-30,-0.03320802005012535
