Date,FIREX
2022-01-31,-0.051361867704280195
2022-02-28,-0.033634126333059844
2022-03-31,0.018675721561969505
2022-04-30,-0.0658333333333333
2022-05-31,-0.00535236396074934
2022-06-30,-0.08251121076233181
2022-07-31,0.05767350928641246
2022-08-31,-0.0739371534195934
2022-09-30,-0.12574850299401197
2022-10-31,0.007990867579908745
2022-11-30,0.07474518686296716
2022-12-31,-0.006322444678609096
2023-01-31,0.05726405090137865
2023-02-28,-0.028084252758274975
2023-03-31,-0.02786377708978327
2023-04-30,0.03397027600849256
2023-05-31,-0.04825462012320336
2023-06-30,-0.0021574973031283085
2023-07-31,0.039999999999999813
2023-08-31,-0.038461538461538436
2023-09-30,-0.044324324324324316
2023-10-31,-0.05203619909502255
2023-11-30,0.08353221957040557
2023-12-31,0.08039647577092524
2024-01-31,-0.042813455657492394
2024-02-29,-0.025559105431309903
2024-03-31,0.03934426229508192
2024-04-30,-0.038906414300735936
2024-05-31,0.029540481400437635
2024-06-30,-0.028692879914984037
2024-07-31,0.057986870897155374
2024-08-31,0.02998965873836612
2024-09-30,0.04216867469879526
2024-10-31,-0.0818882466281311
2024-11-30,-0.016789087093389332
