Date,VDEQX
2022-01-31,-0.06761815629386991
2022-02-28,-0.022333751568381466
2022-03-31,0.02053388090349073
2022-04-30,-0.10035211267605626
2022-05-31,-0.007548224769359901
2022-06-30,-0.08845070422535217
2022-07-31,0.09796044499381962
2022-08-31,-0.035462989023360536
2022-09-30,-0.09191712868398016
2022-10-31,0.07969151670951158
2022-11-30,0.0485119047619047
2022-12-31,-0.061027533352256524
2023-01-31,0.08675937122128197
2023-02-28,-0.025034770514603788
2023-03-31,0.023109843081312587
2023-04-30,0.004461795872839014
2023-05-31,0.0072182121043864456
2023-06-30,0.06835722160970215
2023-07-31,0.03998968008255943
2023-08-31,-0.025800049615479992
2023-09-30,-0.0483829895594603
2023-10-31,-0.03157613058603159
2023-11-30,0.10168554849405909
2023-12-31,0.05793829947328821
2024-01-31,0.00877192982456143
2024-02-29,0.05569917743830799
2024-03-31,0.032056990204808455
2024-04-30,-0.04465056082830021
2024-05-31,0.03951230526078131
2024-06-30,0.025412684622067694
2024-07-31,0.013768269434441871
2024-08-31,0.02298370246552439
2024-09-30,0.016748366013071836
2024-10-31,-0.00903977501004427
2024-11-30,0.06790999391850794
