Date,VFWAX
2022-01-31,-0.025389497980380704
2022-02-28,-0.031675547661338066
2022-03-31,-0.004280036686028721
2022-04-30,-0.062020264046668716
2022-05-31,0.015057283142389633
2022-06-30,-0.08094163173169955
2022-07-31,0.03438596491228063
2022-08-31,-0.04070556309362272
2022-09-30,-0.09865629420084876
2022-10-31,0.0337387210670852
2022-11-30,0.13624288425047437
2022-12-31,-0.022044088176352727
2023-01-31,0.08435792349726778
2023-02-28,-0.042834645669291294
2023-03-31,0.02829878249424156
2023-04-30,0.01760000000000006
2023-05-31,-0.03364779874213841
2023-06-30,0.044256426944354166
2023-07-31,0.0380180741664069
2023-08-31,-0.04503152206544592
2023-09-30,-0.03237975479408983
2023-10-31,-0.03378817413905144
2023-11-30,0.08372562205783463
2023-12-31,0.0496431895749303
2024-01-31,-0.016553355010345716
2024-02-29,0.033062819356777684
2024-03-31,0.030549898167006262
2024-04-30,-0.02286843591191423
2024-05-31,0.039872869112973275
2024-06-30,-0.008057793831619864
2024-07-31,0.027450980392156765
2024-08-31,0.025354416575790628
2024-09-30,0.025259239563945934
2024-10-31,-0.047977178423236566
2024-11-30,-0.0029964587305910673
