Date,VTIAX
2022-01-31,-0.028323141293852605
2022-02-28,-0.029479960251739046
2022-03-31,-0.003754266211604129
2022-04-30,-0.06303528605686881
2022-05-31,0.014625228519195455
2022-06-30,-0.08360360360360364
2022-07-31,0.03657097915847429
2022-08-31,-0.040591805766312605
2022-09-30,-0.10003954132068005
2022-10-31,0.034270650263620306
2022-11-30,0.13338997451146994
2022-12-31,-0.021739130434782594
2023-01-31,0.08429118773946365
2023-02-28,-0.04134275618374561
2023-03-31,0.025801695539992675
2023-04-30,0.01760689902982393
2023-05-31,-0.03389830508474578
2023-06-30,0.04385964912280693
2023-07-31,0.03851540616246507
2023-08-31,-0.04416722859069444
2023-09-30,-0.033156966490299866
2023-10-31,-0.03538854432688798
2023-11-30,0.08472012102874427
2023-12-31,0.050557880055787985
2024-01-31,-0.01792233654165276
2024-02-29,0.0310915849949307
2024-03-31,0.03048180924287114
2024-04-30,-0.0225826972010178
2024-05-31,0.04002603319232012
2024-06-30,-0.0084480600750938
2024-07-31,0.027769012306721352
2024-08-31,0.024562480810561782
2024-09-30,0.02577165118369784
2024-10-31,-0.04732690622261171
2024-11-30,-0.0024532352039251526
