Date,VTMGX
2022-01-31,-0.039438502673796894
2022-02-28,-0.02435629784272786
2022-03-31,0.0028530670470756636
2022-04-30,-0.06543385490753906
2022-05-31,0.017503805175038023
2022-06-30,-0.09648466716529536
2022-07-31,0.052980132450331174
2022-08-31,-0.055031446540880546
2022-09-30,-0.09983361064891838
2022-10-31,0.05914972273567476
2022-11-30,0.13001745200698056
2022-12-31,-0.021621621621621623
2023-01-31,0.08681925808997626
2023-02-28,-0.03413217138707325
2023-03-31,0.026315789473684292
2023-04-30,0.02564102564102555
2023-05-31,-0.037142857142857144
2023-06-30,0.04451038575667643
2023-07-31,0.03125
2023-08-31,-0.03994490358126723
2023-09-30,-0.03730272596843609
2023-10-31,-0.03576751117734722
2023-11-30,0.09041731066460579
2023-12-31,0.056697377746279365
2024-01-31,-0.012743125419181767
2024-02-29,0.028532608695652106
2024-03-31,0.03500660501981501
2024-04-30,-0.03318442884492656
2024-05-31,0.047524752475247345
2024-06-30,-0.01953371140516691
2024-07-31,0.03470437017994854
2024-08-31,0.02857142857142847
2024-09-30,0.009661835748792313
2024-10-31,-0.053229665071770293
2024-11-30,0.004421983575489508
