Date,VTRIX
2022-01-31,0.0008262186725420673
2022-02-28,-0.038525041276830096
2022-03-31,-0.013737836290784067
2022-04-30,-0.05571677307022638
2022-05-31,0.028580208973570942
2022-06-30,-0.08754108156558116
2022-07-31,0.034381139489194634
2022-08-31,-0.03482114593225705
2022-09-30,-0.0911774352246637
2022-10-31,0.03861421869361248
2022-11-30,0.1323835997220293
2022-12-31,-0.01564897207732452
2023-01-31,0.09600997506234399
2023-02-28,-0.03526734926052322
2023-03-31,0.027417452830188704
2023-04-30,0.013486370157819172
2023-05-31,-0.03454133635334089
2023-06-30,0.05659824046920825
2023-07-31,0.03608104357479869
2023-08-31,-0.04875435306723819
2023-09-30,-0.039988735567445644
2023-10-31,-0.03666764447051918
2023-11-30,0.0782582216808767
2023-12-31,0.05196272239480382
2024-01-31,-0.020671140939597432
2024-02-29,0.030153508771929793
2024-03-31,0.030867482703565763
2024-04-30,-0.024006195147134757
2024-05-31,0.037556202062946076
2024-06-30,-0.025235788937037817
2024-07-31,0.02588912133891208
2024-08-31,0.02523578893703804
2024-09-30,0.030830432620586823
2024-10-31,-0.05692233478051134
2024-11-30,-0.015601023017902782
