Date,VWUSX
2022-01-31,-0.12825068648037474
2022-02-28,-0.04687789512692242
2022-03-31,0.021967340590979934
2022-04-30,-0.1567433897660263
2022-05-31,-0.05030453417550185
2022-06-30,-0.09121140142517825
2022-07-31,0.1309461578672244
2022-08-31,-0.040905939449965456
2022-09-30,-0.0932530120481927
2022-10-31,0.048099920276375
2022-11-30,0.030679513184584284
2022-12-31,-0.0806888068880689
2023-01-31,0.11399518330211422
2023-02-28,-0.023780927215950043
2023-03-31,0.06496062992125995
2023-04-30,-0.00300369685767099
2023-05-31,0.0646581691772885
2023-06-30,0.06682629516760996
2023-07-31,0.041420118343195256
2023-08-31,-0.022727272727272707
2023-09-30,-0.05753809141940669
2023-10-31,-0.03233354605403094
2023-11-30,0.1329962629149264
2023-12-31,0.05277454404346127
2024-01-31,0.02543309988942144
2024-02-29,0.07782171099928115
2024-03-31,0.015007503751875984
2024-04-30,-0.048135370461639515
2024-05-31,0.04867103900586822
2024-06-30,0.0627057274522711
2024-07-31,-0.018429611274585533
2024-08-31,0.031082360366045947
2024-09-30,0.028309104820199105
2024-10-31,-0.005505952380952417
2024-11-30,0.07526559928175969
